Chemical,Type,State,Available,RName,CName,DName,Density1,Density2,Density3,Mm,Sol,Mp,Bp,KH,color1,alpha1,color2,alpha2,color3,alpha3,color4,alpha4,friction,restitution,JPN,CHN,TW,KR,Solk,MOH,KOH,MH,PTN
Methane,Gas,0,1,Methane,Methane,Methane,0.668,1,0.001,16.04,0,-182.5,-161.5,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Ethane,Gas,0,1,Ethane,Ethane,Ethane,1.265,1,0.001,30.07,0,-183.3,-88.6,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Propane,Gas,0,1,Propane,Propane,Propane,1.867,1,0.001,44.09,0,-187.7,-42.1,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Butane,Gas,0,1,Butane,Butane,Butane,2.493,1,0.001,58.12,0,-138.3,-0.5,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Pentane,Liquid,0,1,Pentane,Pentane,Pentane,0.626,1,0.001,72.15,0,-129.7,36.1,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Hexane,Liquid,0,1,Hexane,Hexane,Hexane,0.659,1,0.001,86.18,0,-95.3,68.7,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Heptane,Liquid,0,1,Heptane,Heptane,Heptane,0.684,1,0.001,100.2,0,-90.6,98.4,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Octane,Liquid,0,1,Octane,Octane,Octane,0.703,1,0.001,114.23,0,-56.8,125.7,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Nonane,Liquid,0,1,Nonane,Nonane,Nonane,0.718,1,0.001,128.25,0,-64,150.8,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
Decane,Liquid,0,1,Decane,Decane,Decane,0.73,1,0.001,142.29,0,-29.7,174.1,0.1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0xFFFFFF,1,0.4,0.3,,,,,0,0,0,0,0
